"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"        Maine (People)","695000","699000","703000","709000","719000","723000","729000","731000","735000","740000","745000","751000","753000","763000","772000","774000","775000","777000","760000","762000","771000","775000","778000","781000","788000","792000","793000","796000","797000","797000","800000","807000","815000","821000","829000","836000","840000","842000","843000","846000","849000","852000","839000","806000","801000","800000","832000","854000","878000","903000","917000","916000","915000","913000","927000","934000","938000","943000","944000","957000","975000","995000","994000","993000","993000","997000","999000","1004000","994000","992000","993722","1015390","1034292","1045655","1059040","1071995","1088412","1103578","1113566","1122563","1124660","1133033","1136684","1144772","1155635","1162936","1170126","1184574","1203840","1219961","1231719","1237081","1238508","1242302","1242662","1243480","1249060","1254774","1259127","1266808","1277072","1285692","1295960","1306513","1313688","1318787","1323619","1327040","1330509","1329590","1327651","1328473","1328094","1328543","1331217","1329098","1332348","1335743","1340123","1345770","1350141"
"        Maryland (People)","1189000","1200000","1210000","1209000","1217000","1237000","1251000","1257000","1269000","1289000","1302000","1324000","1345000","1368000","1389000","1401000","1415000","1428000","1467000","1445000","1464000","1492000","1509000","1521000","1537000","1556000","1576000","1599000","1610000","1621000","1636000","1657000","1678000","1694000","1710000","1729000","1745000","1754000","1766000","1793000","1839000","1913000","1998000","2089000","2118000","2096000","2214000","2248000","2271000","2329000","2355000","2441000","2500000","2567000","2685000","2742000","2811000","2873000","2982000","3066000","3113000","3176000","3263000","3386000","3492000","3600000","3695000","3757000","3815000","3868000","3923897","4018324","4073499","4097974","4118815","4139096","4150539","4169595","4183603","4191160","4216975","4261905","4282923","4313327","4365243","4413071","4486957","4565557","4657904","4727301","4799770","4867641","4923368","4971889","5023060","5070033","5111986","5157328","5204464","5254509","5311034","5374691","5440389","5496269","5546935","5592379","5627367","5653408","5684965","5730388","5788784","5840241","5888375","5925197","5960064","5988528","6007014","6028186","6042153","6054954","6055802"
"        Massachusetts (People)","2788000","2794000","2856000","2924000","2969000","3018000","3107000","3183000","3251000","3316000","3365000","3383000","3440000","3534000","3636000","3705000","3726000","3738000","3695000","3785000","3882000","3951000","4010000","4057000","4102000","4154000","4194000","4223000","4217000","4229000","4250000","4248000","4259000","4282000","4305000","4343000","4355000","4358000","4365000","4347000","4318000","4389000","4370000","4257000","4192000","4201000","4494000","4580000","4674000","4741000","4686000","4654000","4650000","4806000","4910000","4882000","4891000","4929000","5010000","5117000","5160000","5219000","5263000","5344000","5448000","5502000","5535000","5594000","5618000","5650000","5689170","5737580","5760302","5781172","5773548","5757756","5743672","5738199","5736469","5738404","5737037","5768685","5771222","5799407","5840773","5880733","5902678","5935204","5979982","6015478","6022639","6018470","6028709","6060569","6095241","6141445","6179756","6226058","6271838","6317345","6361104","6397634","6417206","6422565","6412281","6403290","6410084","6431559","6468967","6517613","6566440","6614218","6664269","6715158","6764864","6797484","6827280","6863560","6885720","6894883","6893574"
"        Michigan (People)","2423000","2450000","2477000","2505000","2534000","2579000","2626000","2693000","2722000","2771000","2832000","2916000","2997000","3101000","3183000","3263000","3353000","3451000","3499000","3591000","3723000","3872000","3942000","4063000","4214000","4331000","4451000","4589000","4665000","4795000","4834000","4798000","4780000","4780000","4798000","4838000","4889000","4968000","5056000","5156000","5315000","5472000","5549000","5405000","5467000","5475000","5874000","6076000","6213000","6332000","6407000","6497000","6650000","6822000","7066000","7285000","7467000","7569000","7667000","7767000","7834000","7893000","7933000","8058000","8187000","8357000","8512000","8630000","8696000","8781000","8881826","8974186","9028944","9077956","9117507","9117668","9129205","9171110","9217761","9266268","9262078","9209287","9115198","9047754","9049452","9076293","9127775","9187481","9217998","9253295","9311319","9400446","9479065","9540114","9597737","9676211","9758645","9809051","9847942","9897116","9952450","9991120","10015710","10041152","10055315","10051137","10036081","10001284","9946889","9901591","9877597","9883053","9898289","9914802","9932033","9934483","9954117","9976752","9987286","9984795","9966555"
"        Minnesota (People)","1754000","1805000","1862000","1901000","1945000","1981000","1987000","1995000","2020000","2051000","2086000","2119000","2147000","2190000","2234000","2273000","2308000","2329000","2291000","2346000","2403000","2434000","2451000","2487000","2521000","2540000","2560000","2588000","2592000","2572000","2576000","2614000","2646000","2673000","2695000","2717000","2734000","2746000","2753000","2771000","2790000","2718000","2662000","2577000","2526000","2537000","2734000","2796000","2868000","2935000","2997000","3010000","3030000","3050000","3113000","3172000","3240000","3274000","3313000","3366000","3425000","3470000","3513000","3531000","3558000","3592000","3617000","3659000","3703000","3758000","3806103","3853486","3869747","3889332","3903925","3932515","3964680","3989364","4015341","4050316","4075970","4111728","4131450","4141456","4157706","4184302","4205212","4235136","4296166","4338057","4389857","4440859","4495572","4555954","4610355","4660180","4712827","4763390","4813412","4873481","4933692","4982796","5018935","5053572","5087713","5119598","5163555","5207203","5247018","5281203","5310934","5346620","5377500","5414722","5452665","5484002","5525360","5569283","5608762","5640053","5657342"
"        Mississippi (People)","1553000","1578000","1603000","1628000","1653000","1678000","1703000","1728000","1753000","1777000","1802000","1810000","1817000","1827000","1832000","1826000","1823000","1820000","1813000","1790000","1800000","1823000","1836000","1858000","1886000","1910000","1935000","1962000","1981000","1998000","2006000","1994000","2004000","2031000","2050000","2061000","2072000","2086000","2127000","2168000","2176000","2184000","2210000","2280000","2167000","2090000","2064000","2107000","2076000","2085000","2176000","2163000","2152000","2105000","2064000","2060000","2086000","2088000","2086000","2138000","2182000","2206000","2243000","2244000","2241000","2246000","2245000","2228000","2219000","2220000","2216994","2265432","2307117","2349546","2378268","2399449","2429756","2459201","2487816","2507069","2520638","2539036","2556777","2567717","2578051","2588102","2593597","2588545","2580352","2574269","2578897","2598733","2623734","2655100","2688992","2722659","2748085","2777004","2804834","2828408","2848353","2852994","2858681","2868312","2889010","2905943","2904978","2928350","2947806","2958774","2970615","2979147","2984599","2989839","2991892","2990231","2990595","2990674","2982879","2978227","2966786"
"        Missouri (People)","3108000","3128000","3147000","3166000","3185000","3204000","3223000","3242000","3260000","3279000","3301000","3317000","3344000","3409000","3467000","3492000","3527000","3470000","3325000","3371000","3404000","3429000","3437000","3454000","3508000","3526000","3556000","3576000","3601000","3622000","3646000","3711000","3746000","3773000","3784000","3798000","3801000","3794000","3781000","3783000","3786000","3811000","3829000","3705000","3560000","3516000","3746000","3845000","3844000","3882000","3964000","4015000","3972000","4020000","4066000","4134000","4163000","4189000","4186000","4258000","4326000","4349000","4357000","4392000","4442000","4467000","4523000","4539000","4568000","4640000","4677623","4725764","4758780","4782645","4795930","4808308","4839029","4863173","4889399","4912430","4916686","4932064","4929451","4943733","4975278","5000268","5023068","5056696","5081736","5095830","5128880","5170800","5217101","5271175","5324497","5378247","5431553","5481193","5521765","5561948","5607285","5641142","5674825","5709403","5747741","5790300","5842704","5887612","5923916","5961088","5996089","6011182","6026027","6042989","6059130","6075411","6091384","6111382","6125986","6140475","6151548"
"        Montana (People)","245000","261000","270000","282000","293000","305000","322000","332000","346000","363000","380000","397000","414000","433000","452000","469000","487000","505000","501000","534000","543000","546000","543000","538000","538000","535000","531000","527000","541000","524000","539000","540000","540000","541000","545000","550000","554000","554000","552000","555000","558000","543000","518000","485000","469000","477000","514000","531000","542000","569000","593000","596000","602000","616000","624000","636000","656000","667000","666000","669000","679000","696000","698000","703000","706000","706000","707000","701000","700000","694000","694409","710814","718732","726798","736419","748208","757317","769953","782317","787305","786690","795328","803986","814031","820905","822320","813739","805063","800202","799636","800204","809680","825770","844761","861306","876553","886254","889865","892431","897507","903773","906961","911667","919630","930009","940102","952692","964706","976415","983982","990730","997518","1004168","1014158","1022657","1031495","1042137","1053862","1061818","1070123","1080577"
"        Nebraska (People)","1067000","1078000","1089000","1104000","1119000","1129000","1138000","1149000","1161000","1177000","1198000","1216000","1232000","1246000","1264000","1272000","1275000","1285000","1266000","1290000","1300000","1309000","1312000","1321000","1333000","1343000","1353000","1365000","1371000","1375000","1380000","1384000","1386000","1385000","1382000","1375000","1358000","1339000","1326000","1318000","1316000","1272000","1239000","1241000","1216000","1211000","1256000","1265000","1265000","1302000","1327000","1316000","1311000","1318000","1340000","1374000","1397000","1394000","1383000","1397000","1417000","1446000","1464000","1476000","1482000","1471000","1456000","1457000","1467000","1474000","1485333","1504604","1519013","1529567","1539191","1543117","1550911","1556842","1563884","1567344","1569825","1578515","1581780","1584293","1588639","1584664","1574333","1566547","1571477","1574864","1581660","1595919","1611687","1625590","1639041","1656992","1673740","1686418","1695816","1704764","1713820","1719836","1728292","1738643","1749370","1761497","1772693","1783440","1796378","1812683","1829591","1840914","1853691","1865813","1879955","1892059","1906483","1916998","1925512","1932571","1937552"
"        Nevada (People)","43000","45000","49000","52000","56000","59000","64000","68000","73000","78000","82000","81000","81000","82000","83000","82000","82000","81000","77000","77000","78000","80000","81000","82000","84000","85000","87000","88000","89000","90000","92000","94000","96000","96000","98000","100000","101000","103000","105000","107000","113000","120000","137000","151000","153000","149000","143000","149000","156000","157000","162000","168000","181000","195000","213000","237000","250000","260000","269000","279000","291000","315000","352000","397000","426000","444000","446000","449000","464000","480000","488738","520018","546789","568991","596822","619972","646975","678333","719436","765367","800493","847655","881537","901977","924922","951030","980613","1023376","1075022","1137382","1220695","1296171","1351367","1411215","1499298","1581578","1666320","1764104","1853191","1934718","2018741","2098399","2173791","2248850","2346222","2432143","2522658","2601072","2653630","2684665","2702483","2713114","2744670","2776956","2818935","2868531","2919555","2972097","3030725","3090771","3138259"
"        New Hampshire (People)","412000","412000","409000","394000","407000","423000","415000","423000","428000","431000","431000","432000","434000","439000","442000","443000","445000","447000","440000","443000","444000","449000","451000","453000","457000","459000","463000","466000","468000","467000","466000","470000","474000","477000","480000","481000","481000","481000","485000","490000","492000","490000","481000","462000","456000","459000","494000","507000","520000","533000","532000","529000","535000","547000","554000","557000","566000","572000","581000","596000","609000","618000","632000","649000","663000","676000","681000","697000","709000","724000","737681","761851","781107","800951","815914","828555","845248","869763","891520","909074","920610","936621","947719","958134","976864","996753","1025053","1054289","1082577","1104522","1112384","1109929","1117784","1129458","1142560","1157561","1174719","1189425","1205940","1222014","1239882","1255517","1269089","1279840","1290121","1298492","1308389","1312540","1315906","1316102","1316807","1320444","1324677","1327272","1334257","1337480","1343694","1350395","1355064","1360783","1366275"
"        New Jersey (People)","1884000","1889000","1917000","1969000","2050000","2151000","2239000","2314000","2403000","2487000","2550000","2610000","2670000","2729000","2789000","2850000","2918000","2976000","3043000","3136000","3198000","3297000","3380000","3472000","3573000","3664000","3758000","3891000","3968000","3989000","4068000","4120000","4120000","4107000","4089000","4085000","4084000","4088000","4100000","4129000","4175000","4254000","4297000","4226000","4158000","4108000","4492000","4618000","4774000","4889000","4872000","5006000","5125000","5229000","5360000","5502000","5615000","5737000","5890000","6015000","6103000","6265000","6376000","6531000","6660000","6767000","6851000","6928000","7005000","7095000","7171112","7281107","7335042","7333083","7332411","7337765","7339745","7337169","7350804","7366512","7364823","7407472","7430968","7467785","7515473","7565528","7622159","7670742","7712333","7726089","7762963","7814676","7880508","7948915","8014306","8083242","8149596","8218808","8287418","8359592","8430621","8492671","8552643","8601402","8634561","8651974","8661679","8677885","8711090","8755602","8799451","8828552","8845671","8857821","8867277","8870312","8873584","8888147","8891730","8891258","8882371"
"        New Mexico (People)","196000","206000","218000","229000","242000","255000","269000","283000","298000","314000","329000","334000","338000","344000","348000","351000","354000","361000","382000","362000","363000","370000","375000","382000","390000","396000","403000","410000","416000","420000","427000","436000","441000","449000","461000","475000","489000","503000","513000","523000","531000","506000","502000","534000","527000","537000","561000","582000","604000","644000","689000","717000","735000","756000","763000","785000","806000","847000","886000","919000","954000","965000","979000","989000","1006000","1012000","1007000","1000000","994000","1011000","1017055","1053737","1078697","1105529","1131309","1159944","1189295","1215720","1238034","1284722","1302894","1332748","1363823","1394361","1416717","1438361","1462729","1478520","1490337","1503901","1521574","1555305","1595442","1636453","1682398","1720394","1752326","1774839","1793484","1808082","1821204","1831690","1855309","1877574","1903808","1932274","1962137","1990070","2010662","2036802","2064614","2080707","2087715","2092833","2090236","2090071","2092555","2092844","2093754","2099634","2106319"
"        New York (People)","7283000","7449000","7612000","7771000","7927000","8084000","8289000","8499000","8714000","8935000","9137000","9249000","9361000","9473000","9585000","9700000","9848000","9993000","9936000","10252000","10282000","10416000","10589000","10752000","10953000","11186000","11257000","11174000","11599000","12171000","12647000","12848000","13001000","13126000","13253000","13375000","13481000","13511000","13512000","13523000","13456000","13267000","13002000","12807000","12628000","12495000","13398000","13982000","14497000","14892000","14865000","14890000","15192000","15527000","15814000","15966000","16112000","16374000","16601000","16685000","16838000","17061000","17301000","17461000","17589000","17734000","17843000","17935000","18051000","18105000","18241391","18357982","18339400","18177063","18049775","18003485","17940541","17812602","17680589","17583838","17558072","17567734","17589738","17686905","17745684","17791672","17833419","17868848","17941309","17983086","18020784","18122510","18246653","18374954","18459470","18524104","18588460","18656546","18755906","18882725","19001780","19082838","19137800","19175939","19171567","19132610","19104631","19132335","19212436","19307066","19399956","19499921","19574362","19626488","19653431","19657321","19636391","19593849","19544098","19463131","19336776"
"        North Carolina (People)","1897000","1926000","1956000","1986000","2017000","2051000","2077000","2105000","2142000","2174000","2221000","2276000","2313000","2362000","2421000","2473000","2513000","2546000","2522000","2535000","2588000","2651000","2700000","2761000","2830000","2895000","2959000","3027000","3082000","3133000","3167000","3184000","3227000","3268000","3304000","3323000","3346000","3385000","3440000","3514000","3574000","3589000","3569000","3654000","3560000","3533000","3706000","3769000","3837000","3911000","4068000","4120000","4109000","4120000","4131000","4242000","4309000","4368000","4376000","4458000","4573000","4663000","4707000","4742000","4802000","4863000","4896000","4952000","5004000","5031000","5084411","5203531","5301150","5389852","5470911","5547188","5607964","5685607","5759492","5823491","5881766","5956653","6019101","6077056","6164006","6253954","6321578","6403700","6480594","6565459","6664016","6784280","6897214","7042818","7187398","7344674","7500670","7656825","7809121","7949361","8081614","8210122","8326201","8422501","8553152","8705407","8917270","9118037","9309449","9449566","9574586","9658913","9751810","9846717","9937295","10037218","10161802","10275758","10391358","10501384","10600823"
"        North Dakota (People)","321000","346000","371000","396000","421000","446000","474000","501000","528000","555000","580000","584000","603000","609000","620000","641000","652000","661000","636000","648000","646000","646000","647000","648000","642000","643000","651000","657000","665000","674000","682000","680000","676000","674000","672000","670000","664000","655000","647000","644000","640000","615000","583000","546000","534000","546000","570000","578000","580000","597000","619000","604000","608000","609000","611000","615000","613000","612000","606000","618000","634000","641000","637000","644000","649000","649000","647000","626000","621000","621000","617792","626760","631119","632675","634559","638886","645797","649769","651301","652896","652717","659505","668972","676688","680497","676980","669512","661136","655331","646351","637685","635753","638223","641216","644804","647832","650382","649716","647532","644259","642023","639062","638168","638817","644705","646089","649422","652822","657569","664968","674752","685526","702227","723149","738736","755537","756114","756755","760062","763724","765309"
"        Ohio (People)","4161000","4216000","4322000","4386000","4458000","4530000","4587000","4630000","4677000","4701000","4786000","4821000","4893000","4997000","5109000","5251000","5366000","5510000","5547000","5683000","5799000","5921000","6054000","6183000","6319000","6434000","6504000","6577000","6608000","6626000","6662000","6694000","6717000","6740000","6751000","6787000","6801000","6809000","6837000","6886000","6929000","6958000","6969000","6868000","6918000","6916000","7512000","7705000","7876000","7973000","7980000","8061000","8275000","8591000","8873000","9017000","9207000","9410000","9599000","9671000","9734000","9854000","9929000","9986000","10080000","10201000","10330000","10414000","10516000","10563000","10657423","10734818","10746993","10767314","10765759","10770425","10752662","10771394","10795581","10798298","10797630","10788330","10757087","10737632","10737746","10734926","10730268","10760090","10798552","10829217","10864162","10945762","11029431","11101140","11152454","11202751","11242827","11277357","11311536","11335454","11363543","11387404","11407889","11434788","11452251","11463320","11481213","11500468","11515391","11528896","11539449","11545735","11550971","11579692","11606573","11622315","11640060","11665706","11680892","11696507","11693217"
"        Oklahoma (People)","800000","916000","1027000","1118000","1200000","1277000","1349000","1414000","1498000","1585000","1671000","1714000","1737000","1777000","1824000","1860000","1907000","1960000","1969000","2003000","2055000","2108000","2140000","2159000","2179000","2216000","2256000","2306000","2344000","2372000","2401000","2403000","2394000","2392000","2391000","2386000","2365000","2334000","2324000","2333000","2325000","2262000","2215000","2205000","2043000","2028000","2128000","2133000","2089000","2105000","2229000","2210000","2219000","2182000","2209000","2250000","2273000","2282000","2267000","2289000","2336000","2380000","2427000","2439000","2446000","2440000","2454000","2489000","2503000","2535000","2559463","2618601","2658646","2695931","2734768","2774683","2826815","2870014","2917336","2975310","3025290","3096164","3206123","3290402","3285533","3271332","3252735","3210122","3167057","3150307","3148825","3175440","3220517","3252285","3280940","3308208","3340129","3372917","3405194","3437147","3454365","3467100","3489080","3504892","3525233","3548597","3594090","3634349","3668976","3717572","3760014","3788824","3819320","3853891","3879187","3910518","3928143","3933602","3943488","3960676","3980783"
"        Oregon (People)","415000","434000","454000","479000","504000","530000","555000","580000","610000","643000","677000","692000","706000","722000","736000","745000","756000","763000","763000","774000","788000","798000","814000","833000","856000","883000","905000","925000","936000","947000","956000","966000","972000","978000","985000","1001000","1025000","1048000","1067000","1081000","1086000","1071000","1107000","1221000","1233000","1250000","1338000","1361000","1405000","1431000","1532000","1556000","1582000","1601000","1626000","1659000","1698000","1712000","1718000","1746000","1772000","1787000","1818000","1853000","1888000","1937000","1969000","1979000","2004000","2062000","2091533","2151022","2197297","2241932","2285013","2329661","2378262","2446673","2518298","2588012","2633105","2667982","2664922","2653066","2666588","2672652","2683528","2700991","2741297","2790575","2860375","2928507","2991755","3060367","3121264","3184369","3247111","3304310","3352449","3393941","3429708","3467937","3513424","3547376","3569463","3613202","3670883","3722417","3768748","3808600","3837614","3872672","3900102","3924110","3965447","4018542","4093271","4147294","4183538","4216116","4241507"
"        Pennsylvania (People)","6313000","6439000","6567000","6699000","6833000","6970000","7110000","7253000","7398000","7546000","7706000","7850000","7986000","8139000","8276000","8362000","8463000","8578000","8524000","8643000","8740000","8900000","8982000","9148000","9383000","9478000","9594000","9745000","9802000","9723000","9649000","9707000","9764000","9784000","9795000","9774000","9767000","9790000","9952000","9901000","9896000","9911000","9704000","9444000","9214000","9143000","9866000","10196000","10287000","10390000","10507000","10461000","10503000","10662000","10817000","10939000","10972000","10954000","11058000","11234000","11329000","11392000","11355000","11424000","11519000","11620000","11664000","11681000","11741000","11741000","11800766","11886400","11908233","11890527","11870884","11906095","11897378","11893591","11879396","11887975","11863895","11858567","11845146","11837723","11815172","11770862","11782752","11810866","11845752","11865996","11903299","11982164","12049450","12119724","12166050","12198403","12220464","12227814","12245672","12263805","12284173","12298970","12331031","12374658","12410722","12449990","12510809","12563937","12612285","12666858","12711406","12747052","12769123","12779538","12792392","12789838","12788468","12794679","12809107","12798883","12783254"
"        Rhode Island (People)","430000","441000","450000","460000","471000","481000","492000","505000","519000","532000","545000","556000","567000","578000","589000","597000","598000","606000","604000","603000","613000","629000","644000","656000","669000","680000","681000","677000","678000","684000","686000","681000","677000","675000","675000","678000","686000","694000","694000","701000","719000","731000","748000","760000","795000","776000","770000","776000","787000","801000","786000","784000","802000","815000","816000","823000","840000","851000","858000","857000","855000","858000","871000","876000","885000","893000","899000","909000","922000","932000","949723","963107","974790","975738","950615","942788","946089","950230","951816","950382","947154","953013","954170","956382","961894","968955","977341","989604","996408","1000666","1005995","1010649","1012581","1015112","1015960","1017002","1020893","1025353","1031155","1040402","1050268","1057142","1065995","1071342","1074579","1067916","1063096","1057315","1055003","1053646","1053994","1053829","1054893","1055560","1056511","1056886","1057816","1056554","1059338","1058158","1057125"
"        South Carolina (People)","1342000","1361000","1379000","1397000","1415000","1433000","1451000","1468000","1485000","1502000","1523000","1548000","1572000","1599000","1622000","1635000","1650000","1675000","1746000","1687000","1685000","1693000","1692000","1699000","1710000","1718000","1726000","1736000","1739000","1739000","1745000","1753000","1748000","1752000","1760000","1769000","1781000","1802000","1834000","1872000","1902000","1962000","2007000","1967000","1943000","1934000","1936000","1992000","1996000","2029000","2113000","2167000","2178000","2181000","2176000","2200000","2229000","2274000","2304000","2348000","2392000","2409000","2423000","2460000","2475000","2494000","2520000","2533000","2559000","2570000","2590713","2662269","2719197","2776605","2844749","2902028","2943657","2991681","3044364","3090267","3121820","3179255","3207614","3234066","3271868","3303209","3342758","3380506","3412096","3456775","3501155","3570404","3620464","3663314","3705397","3748582","3796200","3859696","3919235","3974682","4024223","4064995","4107795","4150297","4210921","4270150","4357847","4444110","4528996","4589872","4635846","4672655","4719027","4766469","4826858","4896006","4963031","5027102","5091702","5157702","5218040"
"        South Dakota (People)","403000","418000","431000","437000","452000","461000","477000","498000","527000","553000","590000","602000","592000","584000","581000","585000","595000","599000","570000","606000","640000","652000","660000","669000","673000","682000","683000","682000","685000","690000","693000","694000","692000","690000","682000","674000","666000","656000","649000","645000","641000","613000","589000","587000","565000","579000","588000","601000","612000","631000","655000","655000","651000","648000","655000","663000","670000","666000","656000","667000","683000","693000","705000","708000","701000","692000","683000","671000","669000","668000","666257","671297","677234","678715","679585","681042","686390","688480","688580","688335","690768","689584","690597","693008","697249","698402","696034","696036","698165","696701","697101","703669","712801","722159","730790","737925","742213","744223","746058","750412","755844","757972","760020","763729","770396","775493","783033","791623","799124","807067","816193","823740","833859","842751","849670","854663","863693","873732","879386","887127","892717"
"        Tennessee (People)","2023000","2041000","2060000","2082000","2086000","2111000","2136000","2136000","2164000","2177000","2191000","2197000","2218000","2257000","2289000","2294000","2304000","2331000","2288000","2305000","2329000","2369000","2424000","2463000","2502000","2531000","2553000","2608000","2624000","2604000","2619000","2657000","2711000","2747000","2784000","2798000","2791000","2795000","2821000","2874000","2935000","2973000","2939000","2972000","2868000","2878000","3074000","3166000","3216000","3236000","3315000","3372000","3352000","3319000","3359000","3415000","3415000","3434000","3471000","3522000","3575000","3622000","3673000","3718000","3771000","3798000","3822000","3859000","3878000","3897000","3926018","4013608","4094611","4147401","4213509","4275566","4346928","4422921","4486314","4560473","4591120","4627658","4646041","4659749","4686737","4715296","4738708","4782927","4822437","4854444","4894492","4966587","5049742","5137584","5231438","5326936","5416643","5499233","5570045","5638706","5703719","5750789","5795918","5847812","5910809","5991057","6088766","6175727","6247411","6306019","6355518","6400298","6455752","6496943","6544617","6595354","6651277","6714748","6778180","6830325","6886834"
"        Texas (People)","3055000","3132000","3210000","3291000","3374000","3459000","3546000","3636000","3727000","3821000","3922000","4016000","4107000","4207000","4300000","4368000","4444000","4563000","4666000","4631000","4723000","4853000","4955000","5077000","5210000","5332000","5453000","5577000","5675000","5762000","5844000","5907000","5961000","6014000","6053000","6123000","6192000","6250000","6301000","6360000","6425000","6585000","6711000","7012000","6876000","6826000","7197000","7388000","7626000","7623000","7776000","8111000","8314000","8336000","8382000","8660000","8830000","9070000","9252000","9405000","9624000","9820000","10053000","10159000","10270000","10378000","10492000","10599000","10819000","11045000","11198655","11509848","11759148","12019543","12268629","12568843","12904089","13193050","13500429","13888371","14229191","14746318","15331415","15751676","16007086","16272734","16561113","16621791","16667022","16806735","17056755","17398005","17759738","18161612","18564062","18958751","19340342","19740317","20157531","20558220","20944499","21319622","21690325","22030931","22394023","22778123","23359580","23831983","24309039","24801761","25241897","25645504","26084120","26479646","26963092","27468531","27914064","28291024","28624564","28986794","29360759"
"        Utah (People)","277000","284000","292000","299000","308000","316000","327000","339000","351000","363000","377000","387000","399000","410000","422000","430000","436000","444000","437000","446000","453000","457000","467000","474000","481000","487000","494000","500000","504000","508000","509000","513000","517000","520000","522000","526000","527000","529000","535000","543000","552000","551000","575000","631000","605000","591000","638000","636000","653000","671000","696000","706000","724000","739000","750000","783000","809000","826000","845000","870000","900000","936000","958000","974000","978000","994000","1009000","1019000","1029000","1047000","1059273","1101192","1135449","1170040","1200471","1236030","1274928","1319512","1367510","1420238","1461037","1515471","1558314","1594943","1622342","1642910","1662834","1678119","1689372","1705864","1731223","1779780","1836799","1898404","1960446","2014177","2067976","2119784","2165960","2203482","2244502","2283715","2324815","2360137","2401580","2457719","2525507","2597746","2663029","2723421","2775413","2814797","2854146","2898773","2938327","2983626","3044241","3103540","3155153","3203383","3249879"
"        Vermont (People)","344000","347000","349000","350000","353000","354000","355000","355000","354000","356000","357000","358000","359000","361000","362000","360000","360000","372000","352000","352000","353000","355000","354000","354000","355000","355000","356000","357000","358000","359000","360000","359000","358000","357000","357000","357000","357000","356000","356000","358000","363000","348000","343000","327000","314000","315000","342000","354000","359000","369000","379000","378000","375000","379000","377000","375000","377000","376000","380000","387000","389000","390000","393000","397000","399000","404000","413000","423000","430000","437000","444732","454318","463143","468430","473002","479713","484928","491931","498109","505372","511456","515594","519109","523302","526660","530035","534066","540267","549763","557707","564798","568606","572751","577748","583836","589002","593701","597239","600416","604683","609618","612223","615442","617858","619920","621215","622892","623481","624151","624817","625886","627197","626361","626603","625693","625810","624366","625132","624802","624046","623347"
"        Virginia (People)","1858000","1887000","1894000","1890000","1889000","1917000","1942000","1952000","1994000","2038000","2071000","2092000","2122000","2176000","2241000","2294000","2316000","2313000","2359000","2318000","2347000","2395000","2412000","2423000","2426000","2423000","2419000","2433000","2435000","2425000","2427000","2445000","2452000","2460000","2485000","2520000","2552000","2590000","2638000","2670000","2720000","2855000","3038000","3130000","3248000","3193000","3212000","3201000","3207000","3292000","3315000","3434000","3504000","3557000","3555000","3588000","3722000","3844000","3914000","3951000","3986000","4095000","4180000","4276000","4357000","4411000","4456000","4508000","4558000","4614000","4651448","4750838","4824472","4901292","4971069","5047395","5121863","5193112","5270240","5307945","5346818","5444097","5492783","5564657","5643870","5715153","5811700","5932268","6036909","6120246","6216884","6301217","6414307","6509630","6593139","6670693","6750884","6829183","6900918","7000174","7105817","7198362","7286873","7366977","7475575","7577105","7673725","7751000","7833496","7925937","8024004","8102437","8187456","8255861","8315430","8367303","8417651","8471011","8510920","8556642","8590563"
"        Washington (People)","523000","583000","651000","719000","782000","842000","904000","967000","1028000","1091000","1148000","1167000","1184000","1209000","1231000","1239000","1255000","1287000","1341000","1333000","1373000","1405000","1415000","1433000","1467000","1494000","1516000","1538000","1551000","1555000","1568000","1581000","1584000","1592000","1610000","1629000","1653000","1681000","1698000","1715000","1740000","1789000","1901000","2027000","2092000","2206000","2288000","2211000","2255000","2294000","2387000","2424000","2448000","2466000","2516000","2604000","2668000","2724000","2773000","2821000","2855000","2882000","2942000","2955000","2961000","2967000","3057000","3174000","3270000","3343000","3413244","3447553","3447885","3478782","3549946","3621339","3693610","3776050","3889073","4017632","4132156","4235731","4276552","4300266","4343656","4400098","4452720","4531901","4639893","4746316","4903043","5025624","5160757","5278842","5375161","5481027","5569753","5674747","5769562","5842564","5910512","5985722","6052349","6104115","6178645","6257305","6370753","6461587","6562231","6667426","6743009","6827479","6898599","6966252","7057531","7167287","7299961","7427951","7526793","7614024","7693612"
